1,10,50,100,250,500,1000,2500,5000,full,price,time
46672.57583999787,46673.89485476025,46678.038111860296,46695.798736365636,46785.86228723253,46908.712660551566,47087.09506410526,47739.005286280844,50580.868902563714,131.41116590584838,46678.54,2024-01-11T00:00:00.573Z
46672.29518518519,46674.11201787151,46676.877644835375,46693.40814118618,46784.456576345525,46908.11384109584,47081.286936514014,47736.29667830991,50540.68899794707,131.41980839620055,46678.53,2024-01-11T00:00:01.573Z
46678.34777777778,46674.80996553776,46677.7355310938,46679.578248835096,46780.33004969453,46907.66078665657,47080.83364383657,47736.003086326666,50523.441430399966,131.4215511266928,46671.95,2024-01-11T00:00:02.573Z
46672.25364422986,46672.17194173367,46665.54066346268,46677.74197211492,46741.82288831402,46908.0453568676,47081.53258757262,47736.87052518242,50536.54352128604,131.41487343529857,46673.09,2024-01-11T00:00:03.574Z
46683.21704997702,46679.01677765611,46683.47820484979,46759.51725417145,46866.450699182475,46986.72497719735,47093.91688903612,47752.372383883885,50597.492564732514,131.37252897199886,46687.87,2024-01-11T00:00:04.574Z
46686.57949340832,46684.60936305247,46693.80735080329,46712.912607698134,46787.746455668515,46910.21304105098,47087.517224858595,47743.381176930336,50580.73418452524,131.41312731087626,46685.76,2024-01-11T00:00:05.574Z
46683.38622230233,46688.23472456137,46692.37267843314,46706.35069494659,46788.991878331784,46911.08906087868,47088.13442240248,47743.7872118762,50581.20578827976,131.41142958767523,46680.82,2024-01-11T00:00:06.574Z
46691.08645718386,46696.70927886771,46710.04138448096,46746.549473283056,46907.22795136529,46985.00075940813,47089.99933206001,47746.92535004941,50587.68369384698,131.4014040506778,46693.21,2024-01-11T00:00:07.574Z
46693.79484502447,46696.693751442705,46700.79133531447,46709.501065219636,46790.344589294975,46919.93951084143,47092.61718937604,47744.68869925861,50579.88017458552,131.42061081788148,46698.71,2024-01-11T00:00:08.574Z
46693.11740890688,46695.48690110644,46698.30660091795,46707.17681122951,46755.48718777183,46922.40980370765,47093.98166251605,47739.76429029696,50575.28224151273,131.4234192338788,46694.99,2024-01-11T00:00:09.574Z
46691.86423796234,46694.04721407551,46698.93370185975,46706.869259606545,46795.62120492738,46921.6972379451,47093.25483092914,47738.99595767214,50573.99117680393,131.42825419016177,46689.61,2024-01-11T00:00:10.575Z
46691.02535257115,46693.44053992522,46698.22100548829,46708.59572468366,46807.396413714676,46929.20841388916,47098.141349355865,47741.87645988898,50578.87109191311,131.42187524113243,46690.44,2024-01-11T00:00:11.574Z
46689.244320317215,46690.22767587814,46692.45847980635,46710.48521592427,46810.43411825694,46931.213592773085,47099.21961652647,47747.32534592564,50577.855722174645,131.42031269785775,46694.99,2024-01-11T00:00:12.574Z
46691.34716535433,46691.3094601934,46695.909406459716,46709.34853464738,46810.04065111403,46931.246780145804,47099.00273115663,47741.873734635396,50579.6762470058,131.42342752151205,46687.09,2024-01-11T00:00:13.574Z
46676.68954831854,46675.48878617273,46676.51390973307,46684.07525918164,46755.83822516039,46931.85451672767,47064.701335461854,47742.90399543189,50543.45905614275,131.38649868702183,46668.84,2024-01-11T00:00:14.575Z
46655.0326887736,46657.76432782352,46662.204941388445,46662.24164816626,46747.969422006325,46930.61606896868,47065.213642599425,47750.29472576885,50578.81912699861,131.3742749669201,46659.72,2024-01-11T00:00:15.575Z
46660.1004408012,46659.910429937234,46665.61640438601,46659.00996692553,46757.16424970421,46926.99480269584,47063.687897599404,47739.703326469404,50515.311624141345,131.40720394697334,46664.12,2024-01-11T00:00:16.577Z
46661.087165956415,46660.75975667053,46667.34341884068,46658.88765794597,46758.455911872676,46925.64252530048,47062.52271849185,47738.38073251268,50522.50578380514,131.41488302614061,46666.83,2024-01-11T00:00:17.577Z
46664.65237151807,46661.918993763014,46664.55580372123,46658.82373146162,46759.81442895229,46926.792858158486,47093.68762967533,47739.44888441942,50538.55565330086,131.41236770343355,46667.84,2024-01-11T00:00:18.577Z
46668.35906119435,46668.671643647904,46672.69267773969,46683.38629267113,46766.49176987263,46930.81146529973,47070.9348471442,47743.21362361539,50582.50376868307,131.3958838045514,46672.45,2024-01-11T00:00:19.578Z
46668.3996582302,46668.81970337973,46677.45962753268,46685.73709360122,46766.83980824159,46930.8656222732,47071.33961244914,47748.83340088334,50583.64144288708,131.39308744567285,46673.7,2024-01-11T00:00:20.578Z
46673.41341463415,46672.31848511694,46678.027881525966,46676.64536063672,46763.80040481953,46927.7520092542,47094.169308248165,47741.65358157939,50540.19998635072,131.41436493596714,46675.07,2024-01-11T00:00:21.578Z
46674.56817728823,46672.50545158434,46674.47275427374,46675.85766695525,46760.289009021966,46926.1487292267,47092.72855728302,47740.40884925222,50536.2544356717,131.42168587173998,46674.89,2024-01-11T00:00:22.578Z
46672.19624959627,46668.97611795402,46677.60899371614,46676.68381142921,46764.679564569706,46928.51788934428,47070.14282021538,47742.23233807617,50580.18780448704,131.4048479099049,46664.88,2024-01-11T00:00:23.579Z
46672.48734493901,46683.62811689205,46692.60940138523,46733.76644087008,46826.12753660345,47004.622791670554,47074.1840076979,47755.98628991722,50611.03443385617,131.3886269497493,46689.51,2024-01-11T00:00:24.579Z
46694.997758723235,46694.09732650446,46698.80600599179,46750.39882265238,46824.04288195881,47004.595410907714,47104.6132788707,47752.55089715171,50594.40044663504,131.39062873874718,46695,2024-01-11T00:00:25.579Z
46690.56438356164,46690.63385757016,46688.69593493193,46706.887147753914,46767.826300775065,46929.90445154193,47101.04176126196,47746.9013952009,50579.7535650682,131.41083710776468,46697.76,2024-01-11T00:00:26.579Z
46697.9410478765,46697.798526587,46694.51468354249,46707.56457373504,46808.10485182264,46930.11930455251,47098.99882034502,47747.195064202904,50579.8330082981,131.42310526413343,46697.95,2024-01-11T00:00:27.579Z
46693.7227596821,46693.94079635876,46691.168528074195,46705.18869074713,46766.67600840117,46929.59403889659,47070.37690542739,47747.26330096917,50580.57738934836,131.40694308721282,46689.6,2024-01-11T00:00:28.579Z
46692.00249140272,46693.602248751915,46691.52400824075,46707.02090383201,46766.20461158114,46928.16271914628,47069.020849622495,47745.6516449595,50577.8208339516,131.41724978393918,46696.1,2024-01-11T00:00:29.579Z
46695.42724511028,46693.36381999956,46691.39683471004,46706.07590999265,46766.027952227516,46927.75316614944,47099.180622793865,47745.24731248797,50577.16137951403,131.41973134506048,46690.76,2024-01-11T00:00:30.579Z
46687.944464152984,46687.717139585904,46691.00844657663,46700.898143999315,46795.953662763946,46916.59609917042,47082.05247121159,47728.647818913174,50519.623197169,131.49826381530363,46688.62,2024-01-11T00:00:31.579Z
46693.95253449437,46693.12464350515,46694.16915562819,46690.66280638254,46790.53653940753,46913.545042063604,47079.65579596793,47725.73878139179,50490.92651941756,131.514164079535,46693.96,2024-01-11T00:00:32.580Z
46699.54938092762,46696.08422749821,46700.39003498161,46704.96948461635,46796.87552163125,46916.955492417736,47086.90267755132,47729.4977611645,50557.61063393343,131.5049625132025,46700,2024-01-11T00:00:33.580Z
46697.44054769745,46699.871507008414,46709.298411651645,46706.58372593369,46763.38379936175,46923.27083201695,47088.65413840817,47735.1222374208,50565.794833335305,131.4681347856848,46696.75,2024-01-11T00:00:34.580Z
46691.89999997121,46689.37748348114,46692.42660155368,46680.525528416656,46747.20009878579,46923.31738471164,47058.58925344587,47734.70989831682,50530.469060771095,131.44267203468416,46691.89,2024-01-11T00:00:35.580Z
46693.099992297684,46684.9264820725,46690.16102558567,46676.654909040386,46748.409868037445,46920.84408801965,47058.772952962085,47732.653329490815,50526.09128185519,131.45935167893506,46693.15,2024-01-11T00:00:36.580Z
46677.1670828183,46676.879393576164,46673.489006566924,46668.318148338345,46742.37552718131,46915.29249818266,47054.02331402466,47727.10606054973,50491.51121478745,131.49225463874578,46681.69,2024-01-11T00:00:37.580Z
46676.19212833461,46671.10516289907,46676.29031136217,46672.85629722107,46750.73701422559,46914.158075570114,47082.84112056897,47708.92257617009,50486.95443226084,131.49433530423434,46677.05,2024-01-11T00:00:38.580Z
46675.5567368421,46672.77200527572,46664.875052063835,46661.6355498236,46749.46980814558,46912.90414666838,47052.609332793705,47726.595178470976,50492.986479556195,131.4925206825439,46675.39,2024-01-11T00:00:39.580Z
46658.49999990012,46653.102512362464,46649.78531184249,46639.05832602081,46734.44758964158,46918.0068673465,47055.44565398302,47712.82518219822,50496.687026806576,131.44396369917348,46658.5,2024-01-11T00:00:40.580Z
46643.909999891184,46647.165494451096,46646.17613747058,46616.4166631504,46679.17315348337,46922.324990543806,47057.98671823571,47719.26631537419,50468.14467215448,131.40006591701152,46643.91,2024-01-11T00:00:41.580Z
46643.90999996436,46639.45651087707,46636.84984576086,46620.573491844116,46677.44001159147,46913.445886117464,47053.241692572316,47710.99095144317,50454.48597480908,131.44989581794525,46643.91,2024-01-11T00:00:42.580Z
46620.84765396497,46621.87897023862,46613.50958911092,46596.7895650733,46674.310045478545,46913.19778681795,47050.780684544996,47712.36913111086,50457.675316227316,131.43862319753433,46619.76,2024-01-11T00:00:43.580Z
46611.52598422673,46611.71436875708,46604.42057925862,46582.012798725606,46670.667798959745,46911.86110130323,47052.23473596739,47716.47589942707,50456.12469854875,131.4041955090984,46607.7,2024-01-11T00:00:44.580Z
46610.329990271865,46607.52249416401,46601.41913704391,46572.2611509125,46665.96762198015,46908.57548957073,47051.30762624034,47711.88362841913,50458.12053938257,131.43305994420874,46609.72,2024-01-11T00:00:45.580Z
46591.452307692314,46587.741091797696,46581.7136730384,46539.95673429282,46657.58440422208,46901.555360820304,47025.11369234795,47711.164974767315,50450.81455646683,131.4173584793012,46591.99,2024-01-11T00:00:46.580Z
46584.48980022385,46582.99071355473,46578.540433479844,46559.87214064941,46654.80518594132,46897.60646568993,47044.60882023097,47708.615402375784,50454.76553568245,131.43084375214988,46589.33,2024-01-11T00:00:47.580Z
46582.4590909091,46583.87391705238,46575.06681973459,46550.59110633556,46699.46320764368,46893.98194636568,47039.058115696556,47707.579250887145,50494.64632381621,131.43919083457232,46579.18,2024-01-11T00:00:48.580Z
46595.4578163258,46592.500868971576,46595.542964812324,46578.61679167542,46706.16408110865,46906.51357369171,47053.19627961722,47738.29817284604,50515.93948382664,131.38285756081322,46602.4,2024-01-11T00:00:49.580Z
46591.999391895624,46588.515277715414,46587.539777725186,46566.56027497021,46703.499086238546,46902.52244980638,47045.741496252274,47725.24239545809,50503.1923459398,131.39626284199488,46598.59,2024-01-11T00:00:50.581Z
46587.59913197172,46585.52986452849,46582.07792134642,46572.82632549399,46700.84002209638,46898.60047219909,47044.650962828964,47712.15734067377,50501.25967043322,131.4155994896575,46591.97,2024-01-11T00:00:51.581Z
46604.86664379165,46603.701360245956,46608.75936081724,46602.40431507571,46722.19992553768,46906.10782708335,47054.57919848806,47737.21818901629,50515.403346967025,131.39616108457528,46598.09,2024-01-11T00:00:52.581Z
46591.79368295089,46593.20058122075,46597.552837919065,46589.81700322961,46708.785190974195,46902.70305812037,47052.75099940484,47725.286931754265,50511.77538170591,131.4028688740421,46596.83,2024-01-11T00:00:53.581Z
46593.538371415925,46590.97624335704,46592.701397410034,46576.84175795567,46702.941293333584,46902.65672196768,47049.97994707111,47714.85247037342,50507.80296684055,131.40154649970202,46593.54,2024-01-11T00:00:54.581Z
46596.58443390907,46592.6419199918,46591.54270402225,46586.52329671526,46646.2278103963,46901.581270271745,47048.81244581721,47713.274515538666,50463.12047271698,131.41044474288904,46598.71,2024-01-11T00:00:55.582Z
46589.450432010046,46585.885233458044,46590.26986354368,46583.43235645801,46646.05869214002,46897.68796531305,47049.368198694094,47713.00867876745,50460.786663427054,131.4086415542625,46589.45,2024-01-11T00:00:56.582Z
46591.739392220414,46585.9946110434,46583.36715167596,46570.776801926244,46645.916126969394,46902.51875582829,47049.52114324468,47713.853249465494,50463.99767891474,131.40753659543918,46589.41,2024-01-11T00:00:57.582Z
46587.217806454144,46584.89531044187,46588.091081952196,46578.03746115014,46644.74062916558,46898.885308665325,47050.46120616013,47712.92447816572,50462.403182228074,131.4011816684302,46583.14,2024-01-11T00:00:58.582Z
46590.1342027112,46581.967949802405,46582.335918889745,46569.32002623227,46647.12736009898,46904.29914592804,47049.03219050168,47716.12338978451,50467.30340200073,131.39385165550345,46586.36,2024-01-11T00:00:59.582Z
