1,10,50,100,250,500,1000,2500,5000,full,price,time
45881.390150299434,45881.759583345396,45880.998995713766,45881.38697263862,45941.536093115916,45954.252313898054,46142.353914717925,47192.355114111146,50940.25667068537,62.803073688758836,45880.01,2024-01-10T00:41:21.398Z
45880.10276134625,45881.23848674581,45879.694831556255,45882.14437788771,45942.077046779814,45954.76649048893,46143.01439013139,47191.534065505315,50892.32622979316,62.80105036195985,45881.87,2024-01-10T00:41:22.410Z
45884.72769951216,45884.25903072009,45891.3769961467,45884.65226645069,45940.02063323694,45953.63679550117,46145.31375361904,47204.5167968681,50941.328623327696,62.80373216020631,45884.74,2024-01-10T00:41:23.407Z
45884.73624162714,45885.51427424718,45888.349488812964,45891.31378118694,45939.96345213227,45953.58947392572,46145.4980031967,47192.83980205333,50941.592377531815,62.80348357837503,45883.86,2024-01-10T00:41:24.484Z
45890.239094935125,45888.412401398746,45894.16566342199,45888.502555906976,45934.462642475235,45944.22169803371,46157.50685330087,47208.71758165242,50949.449442813755,62.78965032817706,45892.31,2024-01-10T00:41:25.462Z
45893.35646504986,45895.40867322996,45895.84370677992,45890.65101903132,45935.60708184454,45944.02685255919,46156.4803699494,47206.601846457685,50946.04819667837,62.79862845169485,45893.05,2024-01-10T00:41:26.436Z
45898.91641151135,45899.431603416146,45899.021478977804,45903.79556998556,45955.949665655084,45964.79242888414,46163.2485250312,47227.29134812193,50955.970758644784,62.77710672278762,45898.92,2024-01-10T00:41:27.447Z
45898.289827565706,45899.309762122175,45900.331850517265,45903.089059624675,45957.15368149411,45964.56523953375,46163.23446054394,47216.93254168184,51156.68370399385,62.776822113577595,45899.99,2024-01-10T00:41:28.453Z
45898.280000434024,45899.93983316342,45900.74946835616,45906.20746536745,45956.280534584155,45966.640498501365,46162.80112142352,47225.92164313579,50955.05375561392,62.78324673046459,45898.28,2024-01-10T00:41:29.463Z
45898.31025144541,45900.13922933215,45897.53149587741,45905.63685244694,45952.26149207859,45964.40908530566,46151.24480178211,47220.70889342428,50947.79386031869,62.801805518311696,45898.3,2024-01-10T00:41:30.471Z
45898.70716115501,45900.13437020302,45897.08491230508,45907.71707576116,45949.373540720946,45962.10446973296,46148.05963577107,47205.83677971259,50940.52303768548,62.81319891576206,45899.94,2024-01-10T00:41:31.478Z
45891.09784678973,45886.454216023994,45896.71239104636,45902.41536815706,45940.97119925931,45947.11408733985,46159.900435622214,47214.34754772863,51153.287619841525,62.7842438290482,45893.43,2024-01-10T00:41:32.486Z
45892.28324989698,45889.9484524357,45898.5479410716,45900.924912534225,45946.90338139554,45958.11218272276,46158.12371056135,47210.38328997811,51148.570265455965,62.800195535525944,45891.09,2024-01-10T00:41:33.493Z
45891.089468572485,45891.64423259516,45897.86826900354,45900.561233086264,45946.221165454415,45957.49015882613,46156.66767714444,47208.5611431507,51144.15521413644,62.807513206929954,45891.09,2024-01-10T00:41:34.494Z
45891.08898405,45890.62144786576,45896.545840294195,45899.210663949554,45947.326997723045,45958.40970740927,46157.80081289123,47209.844690892525,51146.37650658897,62.80276937274678,45891.09,2024-01-10T00:41:35.499Z
45893.55764910165,45891.87988195128,45893.266173517695,45893.13974506821,45944.340806415035,45957.02305304159,46148.32231762985,47206.46758625819,50945.76653379275,62.800717969894684,45893.31,2024-01-10T00:41:36.509Z
45893.61635052405,45893.76942007309,45892.34233670684,45892.39435729083,45943.949854851344,45956.47838171772,46146.42749565272,47204.061983704654,50940.30168963378,62.80764596525623,45891.1,2024-01-10T00:41:37.520Z
